episode	title	arc_id	duration	thumbnail_url
1	Naruto Uzumaki!	1	1:30:16	1.png
2	The Worst Client	1	1:35:55	2.jpg
3	For My Dream!	1	1:51:25	3.png
4	The Hero's Bridge	1	1:27:04	4.jpg
5	The Challengers!	2	1:18:39	5.jpg
6	Predator	2	1:40:58	6.jpg
7	The Right Path!	2	1:14:32	7.jpg
8	Life-or-Death Battles!	2	1:35:31	8.png
9	Neji vs Hinata	2	1:46:18	9.jpg
10	A Splendid Ninja!	2	1:28:15	10.jpg
11	Seeking Apprenticeship	2	1:52:50	11.png
12	The Great Flight	2	1:25:16	12.png
13	The Chunning Exams, Concluded	2	1:22:27	13.png
14	Hokage vs Hokage!	3	1:20:29	14.png
15	Naruto's Ninja Handbook!	3	1:14:29	15.jpg
16	Eulogy	3	1:28:15	16.jpg
17	Itachi's Power	4	1:27:10	17.jpg
18	Tsunade's Decision	4	1:24:37	18.jpg
19	The Successor	4	1:15:08	19.jpg
20	Naruto vs Sasuke!	5	1:11:14	20.jpg
21	Pursuit	5	1:39:48	21.png
22	Comrades	5	54:55:00	22.png
23	Predicament	5	1:15:46	24.png
24	Unorthodox	5	1:20:48	23.jpg
25	Itachi and Sasuke, Brothers	5	1:11:00	25.jpg
26	Awakening	5	1:02:51	26.png
27	Day of Departure	5	23:28	27.jpg
28	Kakashi Chronicles	6	40:38	28.jpg
29	Naruto's Homecoming	7	2:07:05	29.png
30	Kakashi vs Itachi!	7	1:19:47	30.jpg
31	Puppet Masters	7	1:48:06	31.jpg
32	Entrusted Wishes!	7	1:28:39	32.jpg
33	The Road to Sasuke!	8	1:25:15	33.png
34	Top-Secret Mission!	8	1:44:29	34.png
35	The Reunion!	8	1:49:05	35.png
36	The New Duo!	9	1:15:54	36.png
37	Team Ten	9	1:28:47	37.png
38	Shikamaru's Battle!	9	1:34:51	38.png
39	The Fruits of Training	9	1:18:39	39.jpg
40	On the Move	10	1:06:31	40.jpg
41	The Ultimate Art!	10	1:08:56	41.jpg
42	Jiraiya's Choice!	11	1:21:50	42.png
43	The Secret of the Mongekyo!	11	57:42	43.jpg
44	The One Who Knows the Truth	12	1:12:57	44.jpg
45	Inheriting Sage Jutsu!	13	1:10:14	45.jpg
46	Leaf Battlefield	13	1:24:02	46.jpg
47	Naruto Returns!	13	1:30:01	47.png
48	The Broken Seal!	13	1:25:31	48.jpg
49	The Cheering Village!	13	1:56:46	49.png
50	The Five Kage Summit Commences!	14	1:38:33	50.jpg
51	Water Prison Death Match	14	1:27:54	51.jpg
52	Sasuke vs Danzo	14	1:39:25	52.jpg
53	Team 7, Together Again!	15	1:47:05	53.png
54	Naruto's Birth	15	1:34:28	54.jpg
55	Bridge to Peace	15	1:36:05	55.jpg
56	The Great War Begins	15	2:04:55	56.jpg
57	Team Asuma's Reunion!	15	1:49:19	57.jpg
58	Naruto Heads to the Battlefield!	15	1:50:40	58.png
59	Naruto vs Itachi!	15	1:50:48	59.png
60	The Five Kage, Assembled!	15	1:30:59	60.png
61	Kurama!	15	1:20:19	61.jpg
62	Brothers, United!	15	1:44:39	62.jpg
63	The Crack	15	1:20:09	63.jpg
64	World of Dreams	15	1:04:15	64.png
65	Ten Tails	15	1:12:46	65.jpg
66	Hashirama and Madara	15	1:36:34	66.png
67	A New Three-Way Deadlock	15	1:26:32	67.jpg
68	Breakthrough	16	1:28:34	68.jpg
69	Naruto's Path	16	1:23:17	69.jpg
70	The Start of a Crimson Spring	16	1:29:29	70.png
71	Naruto and the Sage of Six Paths	16	1:32:56	71.jpg
72	I Love You	16	1:35:28	72.jpg
73	Naruto Uzumaki!	17	1:49:30	73.jpg
74	The Last - Naruto the Movie	18	1:52:03	74.jpg